object,object_type
ROWSEC_PDB.USER_BDGT_GRP_SECURITY,table
AUTOMOTIVE_WORK_PDB.ADW_AUTO_CUST,table
AUTOMOTIVE_WORK_PDB.ADW_CUSTOMER_XREF,table
AUTOMOTIVE_WORK_PDB.ADW_MIS_SHIP,table
AUTOMOTIVE_WORK_PDB.ADW_MIS_SHIP_BKP,table
AUTOMOTIVE_WORK_PDB.ADW_MIS_SHIP_bkp1,table
AUTOMOTIVE_WORK_PDB.ADW_STORAGE_COST,table
AUTOMOTIVE_WORK_PDB.ADW_STORAGE_COST_BKP,table
AUTOMOTIVE_WORK_PDB.ADW_WARDS,table
AUTOMOTIVE_WORK_PDB.ADW_WARDS_XREF,table
AUTOMOTIVE_WORK_PDB.AEMS_ACTUAL,table
AUTOMOTIVE_WORK_PDB.AEMS_FORECAST,table
ACHIEVE_EMPL_MGT_PVIEW.TWP_YARD_STARTS,view